Cap waktu,Jenis Kelamin,Domisili Tempat Tinggal,Jurusan,Semester,Pendidikan Terakhir Sebelum Kuliah,Jenis Sekolah,Domisili Sekolah,Asal Kota Domisili,Program Peminatan Sekolah,Lama menempuh pendidikan formal terakhir ,Apakah anda pernah mengikuti bimbel/ kursus/ les selama menempuh pendidikan formal terakhir?,"Jika pernah, dimana lokasi bimbel/ kursus/ les?",Nama instansi pendidikan non formal,Lama waktu mengikuti bimbel selama pendidikan formal terakhir,Apakah anda pernah memperoleh prestasi selama menempuh pendidikan formal terakhir?,Tingkat pencapaian prestasi pada saat pendidikan formal terakhir,Banyak prestasi yang diperoleh pada saat pendidikan formal terakhir,Apakah anda mengikuti ekstrakurikuler pada saat pendidikan formal terakhir?,"Jika Ya, jenis ekstrakurikuler yang diikuti",Jalur masuk UIN Jakarta,Apakah anda memperoleh prestasi saat berkuliah?,"Jika Ya, jenis prestasi yang diperoleh","Jika Ya, Tingkat pencapaian prestasi","Jika Ya, Banyaknya prestasi yang diperoleh pada saat berkuliah",Apakah anda penerima beasiswa?,Hasil Indeks Prestasi Kumulatif (IPK) saat ini
2022/04/12 4:21:09 PM GMT+7,Laki - Laki,JABODETABEK,Matematika,6,SMA,Swasta,JABODETABEK,Jakarta Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:22:41 PM GMT+7,Perempuan,JABODETABEK,Matematika,6,SMA,Negeri,JABODETABEK,Jakarta Selatan,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,2.50 - 3.00
2022/04/12 4:25:48 PM GMT+7,Perempuan,JABODETABEK,Matematika,6,SMA,Negeri,JABODETABEK,Tangerang,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:27:28 PM GMT+7,Laki - Laki,Luar JABODETABEK,Matematika,6,SMA,Negeri,Luar JABODETABEK,Subang,IPA,3 Tahun,Pernah,Luar JABODETABEK,Nurul Fikri,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Ya,Akademik,Nasional,1,Tidak,> 3.50
2022/04/12 4:28:57 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,kota Tangerang Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Prestasi Akademik,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 4:30:11 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Barat,IPA,3 Tahun,Pernah,JABODETABEK,G²C²,1-3 Tahun,Prestasi Akademik,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 4:31:02 PM GMT+7,Perempuan,JABODETABEK,Biologi,4,SMA,Swasta,JABODETABEK,Tangerang,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Akademik,yayasan sekolah ,> 3,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:31:24 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Swasta,JABODETABEK,Jakarta Selatan,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Provinsi,> 3,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:31:34 PM GMT+7,Perempuan,JABODETABEK,Matematika,6,SMA,Swasta,JABODETABEK,Tangerang Selatan,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,Lainnya,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:32:17 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,Luar JABODETABEK,Bandung Barat,IPA,3 Tahun,Pernah,Luar JABODETABEK,Ruangguru,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,SNMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 4:33:39 PM GMT+7,Perempuan,JABODETABEK,Kimia,6,SMA,Swasta,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Ganesha Operation,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:33:46 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Swasta,JABODETABEK,SMA Muhammadiyah 3 Jakarta,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,Lainnya,Tidak,,,,Tidak,> 3.50
2022/04/12 4:34:59 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,MA,Negeri,JABODETABEK,Kabupaten Tangerang,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Se-Jakarta Raya,1,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:35:07 PM GMT+7,Perempuan,JABODETABEK,Biologi,6,SMA,Swasta,JABODETABEK,JAKARTA,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:35:13 PM GMT+7,Perempuan,JABODETABEK,Biologi,4,SMA,Negeri,JABODETABEK,Jakarta Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru;Zenius;Epsilon,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
